Candidate,Date,Headline,Snippet,Headline_Cleaned,Snippet_Cleaned,Headline_Keywords,Headline_Stopwords,Headline_Tokens,Snippet_Keywords,Snippet_Stopwords,Snippet_Tokens,Sentiment_Values,Sentiment,Snippet_Sentiment_Values,Snippet_Sentiment,Headline_polarity,Snippet_polarity
trump,2016-10-06,Trump’s Deals: Hype and Reality,"Donald J. Trump is a prolific, if controversial, businessman. Here, we examine some of his ventures to find out how they fared. (Pictured: Mr. Trump showing off his home furnishings collection in 2007.)",Trump’s Deals: Hype and Reality,"Donald J Trump is a prolific, if controversial, businessman Here, we examine some of his ventures to find out how they fared (Pictured: Mr Trump showing off his home furnishings collection in 2007.)","Trump, Deals, :, Hype, Reality","’s, and","Trump, ’s, Deals, :, Hype, and, Reality","Donald, J, Trump, prolific, ,, controversial, ,, businessman, ,, examine, ventures, find, fared, (, Pictured, :, Mr, Trump, showing, home, furnishings, collection, 2007, ., )","is, a, if, Here, we, some, of, his, to, out, how, they, off, his, in","Donald, J, Trump, is, a, prolific, ,, if, controversial, ,, businessman, Here, ,, we, examine, some, of, his, ventures, to, find, out, how, they, fared, (, Pictured, :, Mr, Trump, showing, off, his, home, furnishings, collection, in, 2007, ., )","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.055, 'neu': 0.945, 'pos': 0.0, 'compound': -0.2023}]",neu,0.0,-0.2023
trump,2016-10-06,"Global Trade War, Trump Edition","Why Larry Summers, Robert Reich and other economists think the Republican presidential candidate’s trade policies are ‘lunatic.’","Global Trade War, Trump Edition","Why Larry Summers, Robert Reich and other economists think the Republican presidential candidate’s trade policies are ‘lunatic.’","Global, Trade, War, ,, Trump, Edition",,"Global, Trade, War, ,, Trump, Edition","Larry, Summers, ,, Robert, Reich, economists, think, Republican, presidential, candidate, trade, policies, ‘, lunatic, ., ’","Why, and, other, the, ’s, are","Why, Larry, Summers, ,, Robert, Reich, and, other, economists, think, the, Republican, presidential, candidate, ’s, trade, policies, are, ‘, lunatic, ., ’","[{'neg': 0.494, 'neu': 0.506, 'pos': 0.0, 'compound': -0.5994}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.5994,0.0
trump,2016-10-06,Donald Trump’s Ventures Began With a Lot of Hype. Here’s How They Turned Out.,"Of roughly 60 ventures started or promoted by Mr. Trump, a third did not work out, a third had some success and some problems, and a third met expectations.",Donald Trump’s Ventures Began With a Lot of Hype Here’s How They Turned Out,"Of roughly 60 ventures started or promoted by Mr Trump, a third did not work out, a third had some success and some problems, and a third met expectations","Donald, Trump, Ventures, Began, Lot, Hype, Turned","’s, With, a, of, Here, ’s, How, They, Out","Donald, Trump, ’s, Ventures, Began, With, a, Lot, of, Hype, Here, ’s, How, They, Turned, Out","roughly, 60, ventures, started, promoted, Mr, Trump, ,, work, ,, success, problems, ,, met, expectations","Of, or, by, a, third, did, not, out, a, third, had, some, and, some, and, a, third","Of, roughly, 60, ventures, started, or, promoted, by, Mr, Trump, ,, a, third, did, not, work, out, ,, a, third, had, some, success, and, some, problems, ,, and, a, third, met, expectations","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.084, 'neu': 0.714, 'pos': 0.202, 'compound': 0.5859}]",neu,0.0,0.5859
trump,2016-10-06,Mike Pence Disavows Donald Trump’s Earlier Proposal Barring Muslims,"Asked during a number of interviews on Thursday about why he will not condemn the Muslim ban now, Mr. Pence said, “Because that’s not Donald Trump’s position now.”",Mike Pence Disavows Donald Trump’s Earlier Proposal Barring Muslims,"Asked during a number of interviews on Thursday about why he will not condemn the Muslim ban now, Mr Pence said, “Because that’s not Donald Trump’s position now.”","Mike, Pence, Disavows, Donald, Trump, Earlier, Proposal, Barring, Muslims",’s,"Mike, Pence, Disavows, Donald, Trump, ’s, Earlier, Proposal, Barring, Muslims","Asked, number, interviews, Thursday, condemn, Muslim, ban, ,, Mr, Pence, said, ,, “, Donald, Trump, position, ., ”","during, a, of, on, about, why, he, will, not, the, now, Because, that, ’s, not, ’s, now","Asked, during, a, number, of, interviews, on, Thursday, about, why, he, will, not, condemn, the, Muslim, ban, now, ,, Mr, Pence, said, ,, “, Because, that, ’s, not, Donald, Trump, ’s, position, now, ., ”","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.116, 'neu': 0.772, 'pos': 0.112, 'compound': -0.2769}]",neu,0.0,-0.2769
trump,2016-10-06,Donald Trump Takes Advantage of a Republican Party Pitted Against Itself,"Mr. Trump has fomented divisions that began before he started his campaign, capitalizing on working-class whites’ anger at the party establishment.",Donald Trump Takes Advantage of a Republican Party Pitted Against Itself,"Mr Trump has fomented divisions that began before he started his campaign, capitalizing on working-class whites’ anger at the party establishment","Donald, Trump, Takes, Advantage, Republican, Party, Pitted","of, a, Against, Itself","Donald, Trump, Takes, Advantage, of, a, Republican, Party, Pitted, Against, Itself","Mr, Trump, fomented, divisions, began, started, campaign, ,, capitalizing, working, -, class, whites, ’, anger, party, establishment","has, that, before, he, his, on, at, the","Mr, Trump, has, fomented, divisions, that, began, before, he, started, his, campaign, ,, capitalizing, on, working, -, class, whites, ’, anger, at, the, party, establishment","[{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.5719}]",neu,"[{'neg': 0.146, 'neu': 0.748, 'pos': 0.106, 'compound': -0.25}]",neu,0.5719,-0.25
trump,2016-10-06,"The White House Rule: No Tax Returns, No Job","We wouldn’t have let someone with Trump’s returns serve in the cabinet, so how can he be president?","The White House Rule: No Tax Returns, No Job","We wouldn’t have let someone with Trump’s returns serve in the cabinet, so how can he be president?","White, House, Rule, :, Tax, Returns, ,, Job","The, No, No","The, White, House, Rule, :, No, Tax, Returns, ,, No, Job","let, Trump, returns, serve, cabinet, ,, president, ?","We, would, n’t, have, someone, with, ’s, in, the, so, how, can, he, be","We, would, n’t, have, let, someone, with, Trump, ’s, returns, serve, in, the, cabinet, ,, so, how, can, he, be, president, ?","[{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.5267}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.5267,0.0
trump,2016-10-06,Megyn Kelly and Sean Hannity Indulge in Testy Public Clash,"The two Fox News anchors criticized each other’s treatment of the presidential candidates, with Mr. Hannity accusing Ms. Kelly of supporting Hillary Clinton.",Megyn Kelly and Sean Hannity Indulge in Testy Public Clash,"The two Fox News anchors criticized each other’s treatment of the presidential candidates, with Mr Hannity accusing Ms Kelly of supporting Hillary Clinton","Megyn, Kelly, Sean, Hannity, Indulge, Testy, Public, Clash","and, in","Megyn, Kelly, and, Sean, Hannity, Indulge, in, Testy, Public, Clash","Fox, News, anchors, criticized, treatment, presidential, candidates, ,, Mr, Hannity, accusing, Ms, Kelly, supporting, Hillary, Clinton","The, two, each, other, ’s, of, the, with, of","The, two, Fox, News, anchors, criticized, each, other, ’s, treatment, of, the, presidential, candidates, ,, with, Mr, Hannity, accusing, Ms, Kelly, of, supporting, Hillary, Clinton","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.155, 'neu': 0.738, 'pos': 0.107, 'compound': -0.0772}]",neu,0.0,-0.0772
trump,2016-10-06,Who’s Sorry Now? The Country,Clinton even leads Trump when it comes to apologies.,Who’s Sorry Now? The Country,Clinton even leads Trump when it comes to apologies,"Sorry, ?, Country","Who, ’s, Now, The","Who, ’s, Sorry, Now, ?, The, Country","Clinton, leads, Trump, comes, apologies","even, when, it, to","Clinton, even, leads, Trump, when, it, comes, to, apologies","[{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.0772}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.0772,0.0
trump,2016-10-06,"Good, Bad and Mad: Andrew Rosenthal on the News","The Opinion columnist Andrew Rosenthal on the vice-presidential debate, efforts to legalize marijuana and other news.","Good, Bad and Mad: Andrew Rosenthal on the News","The Opinion columnist Andrew Rosenthal on the vice-presidential debate, efforts to legalize marijuana and other news","Good, ,, Bad, Mad, :, Andrew, Rosenthal, News","and, on, the","Good, ,, Bad, and, Mad, :, Andrew, Rosenthal, on, the, News","Opinion, columnist, Andrew, Rosenthal, vice, -, presidential, debate, ,, efforts, legalize, marijuana, news","The, on, the, to, and, other","The, Opinion, columnist, Andrew, Rosenthal, on, the, vice, -, presidential, debate, ,, efforts, to, legalize, marijuana, and, other, news","[{'neg': 0.429, 'neu': 0.385, 'pos': 0.186, 'compound': -0.5859}]",neg,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.5859,0.0
trump,2016-10-06,"Debates Past, and Debates Future","Readers urge the presidential candidates to go beyond attacks and sound bites, and reflect on the role of faith in the vice-presidential race.","Debates Past, and Debates Future","Readers urge the presidential candidates to go beyond attacks and sound bites, and reflect on the role of faith in the vice-presidential race","Debates, Past, ,, Debates, Future",and,"Debates, Past, ,, and, Debates, Future","Readers, urge, presidential, candidates, attacks, sound, bites, ,, reflect, role, faith, vice, -, presidential, race","the, to, go, beyond, and, and, on, the, of, in, the","Readers, urge, the, presidential, candidates, to, go, beyond, attacks, and, sound, bites, ,, and, reflect, on, the, role, of, faith, in, the, vice, -, presidential, race","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.109, 'neu': 0.787, 'pos': 0.105, 'compound': -0.0258}]",neu,0.0,-0.0258
trump,2016-10-07,Letterman Has No Love for ‘Damaged’ Trump,"In an interview, Mr. Letterman gave his thoughts on the Republican presidential nominee and why he considers him “a person to be shunned.”",Letterman Has No Love for ‘Damaged’ Trump,"In an interview, Mr Letterman gave his thoughts on the Republican presidential nominee and why he considers him “a person to be shunned.”","Letterman, Love, ‘, Damaged, ’, Trump","Has, No, for","Letterman, Has, No, Love, for, ‘, Damaged, ’, Trump","interview, ,, Mr, Letterman, gave, thoughts, Republican, presidential, nominee, considers, “, person, shunned, ., ”","In, an, his, on, the, and, why, he, him, a, to, be","In, an, interview, ,, Mr, Letterman, gave, his, thoughts, on, the, Republican, presidential, nominee, and, why, he, considers, him, “, a, person, to, be, shunned, ., ”","[{'neg': 0.193, 'neu': 0.439, 'pos': 0.368, 'compound': 0.4588}]",compound,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.4588,0.0
trump,2016-10-07,"Balance, Trump and Lies","Is any equivalence of the treatment of Clinton and Trump “false” because they are not compatible, any more than, say, harassment and murder?","Balance, Trump and Lies","Is any equivalence of the treatment of Clinton and Trump “false” because they are not compatible, any more than, say, harassment and murder?","Balance, ,, Trump, Lies",and,"Balance, ,, Trump, and, Lies","equivalence, treatment, Clinton, Trump, “, false, ”, compatible, ,, ,, ,, harassment, murder, ?","Is, any, of, the, of, and, because, they, are, not, any, more, than, say, and","Is, any, equivalence, of, the, treatment, of, Clinton, and, Trump, “, false, ”, because, they, are, not, compatible, ,, any, more, than, ,, say, ,, harassment, and, murder, ?","[{'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.4215}]",neu,"[{'neg': 0.287, 'neu': 0.713, 'pos': 0.0, 'compound': -0.8578}]",neu,-0.4215,-0.8578
trump,2016-10-07,Donald Trump Apology Caps Day of Outrage Over Lewd Tape,A vulgar discussion recorded in 2005 on a soap opera set added to evidence that Mr. Trump has a record of sexist behavior.,Donald Trump Apology Caps Day of Outrage Over Lewd Tape,A vulgar discussion recorded in 2005 on a soap opera set added to evidence that Mr Trump has a record of sexist behavior,"Donald, Trump, Apology, Caps, Day, Outrage, Lewd, Tape","of, Over","Donald, Trump, Apology, Caps, Day, of, Outrage, Over, Lewd, Tape","vulgar, discussion, recorded, 2005, soap, opera, set, added, evidence, Mr, Trump, record, sexist, behavior","A, in, on, a, to, that, has, a, of","A, vulgar, discussion, recorded, in, 2005, on, a, soap, opera, set, added, to, evidence, that, Mr, Trump, has, a, record, of, sexist, behavior","[{'neg': 0.264, 'neu': 0.64, 'pos': 0.096, 'compound': -0.4767}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.4767,0.0
trump,2016-10-07,"A Must-Win Debate for Donald Trump, but Not a Must-Rehearse One","Hillary Clinton and Mr. Trump are getting ready, in their own ways, for Sunday’s town-hall-style debate in St. Louis, with Mr. Trump’s team calling it a must-win.","A Must-Win Debate for Donald Trump, but Not a Must-Rehearse One","Hillary Clinton and Mr Trump are getting ready, in their own ways, for Sunday’s town-hall-style debate in St Louis, with Mr Trump’s team calling it a must-win","-, Win, Debate, Donald, Trump, ,, -, Rehearse","A, Must, for, but, Not, a, Must, One","A, Must, -, Win, Debate, for, Donald, Trump, ,, but, Not, a, Must, -, Rehearse, One","Hillary, Clinton, Mr, Trump, getting, ready, ,, ways, ,, Sunday, town, -, hall, -, style, debate, St, Louis, ,, Mr, Trump, team, calling, -, win","and, are, in, their, own, for, ’s, in, with, ’s, it, a, must","Hillary, Clinton, and, Mr, Trump, are, getting, ready, ,, in, their, own, ways, ,, for, Sunday, ’s, town, -, hall, -, style, debate, in, St, Louis, ,, with, Mr, Trump, ’s, team, calling, it, a, must, -, win","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3612}]",neu,0.0,0.3612
trump,2016-10-07,"How This Jobs Report Can Help Clinton, and Trump","The numbers are such that Hillary Clinton can argue that the economy continues to improve, and Donald Trump can argue that things haven’t improved enough.","How This Jobs Report Can Help Clinton, and Trump","The numbers are such that Hillary Clinton can argue that the economy continues to improve, and Donald Trump can argue that things haven’t improved enough","Jobs, Report, Help, Clinton, ,, Trump","How, This, Can, and","How, This, Jobs, Report, Can, Help, Clinton, ,, and, Trump","numbers, Hillary, Clinton, argue, economy, continues, improve, ,, Donald, Trump, argue, things, improved","The, are, such, that, can, that, the, to, and, can, that, have, n’t, enough","The, numbers, are, such, that, Hillary, Clinton, can, argue, that, the, economy, continues, to, improve, ,, and, Donald, Trump, can, argue, that, things, have, n’t, improved, enough","[{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}]",neu,"[{'neg': 0.151, 'neu': 0.66, 'pos': 0.189, 'compound': 0.296}]",neu,0.4019,0.296
trump,2016-10-07,My Dad Set the Precedent Donald Trump Is Flouting,"In 1967, my father convinced George Romney to release 12 years of tax returns, helping to establish a precedent that Donald J. Trump, so far, has defied.",My Dad Set the Precedent Donald Trump Is Flouting,"In 1967, my father convinced George Romney to release 12 years of tax returns, helping to establish a precedent that Donald J Trump, so far, has defied","Dad, Set, Precedent, Donald, Trump, Flouting","My, the, Is","My, Dad, Set, the, Precedent, Donald, Trump, Is, Flouting","1967, ,, father, convinced, George, Romney, release, 12, years, tax, returns, ,, helping, establish, precedent, Donald, J, Trump, ,, far, ,, defied","In, my, to, of, to, a, that, so, has","In, 1967, ,, my, father, convinced, George, Romney, to, release, 12, years, of, tax, returns, ,, helping, to, establish, a, precedent, that, Donald, J, Trump, ,, so, far, ,, has, defied","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.5994}]",neu,0.0,0.5994
trump,2016-10-07,When Donald Trump Went to Washington and Got Himself a Tax Break,"In less than two years, a set of provisions was passed that stood to be enormously lucrative to Mr. Trump and the rest of the real estate industry.",When Donald Trump Went to Washington and Got Himself a Tax Break,"In less than two years, a set of provisions was passed that stood to be enormously lucrative to Mr Trump and the rest of the real estate industry","Donald, Trump, Went, Washington, Got, Tax, Break","When, to, and, Himself, a","When, Donald, Trump, Went, to, Washington, and, Got, Himself, a, Tax, Break","years, ,, set, provisions, passed, stood, enormously, lucrative, Mr, Trump, rest, real, estate, industry","In, less, than, two, a, of, was, that, to, be, to, and, the, of, the","In, less, than, two, years, ,, a, set, of, provisions, was, passed, that, stood, to, be, enormously, lucrative, to, Mr, Trump, and, the, rest, of, the, real, estate, industry","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
trump,2016-10-07,How Donald Trump Uses the Tax Code in Ways You Can’t,"Real estate developers like Donald J. Trump can combine a number of breaks in the tax code to generate large deductions, which could have allowed him to avoid paying any federal income tax for decades.",How Donald Trump Uses the Tax Code in Ways You Can’t,"Real estate developers like Donald J Trump can combine a number of breaks in the tax code to generate large deductions, which could have allowed him to avoid paying any federal income tax for decades","Donald, Trump, Uses, Tax, Code, Ways","How, the, in, You, Ca, n’t","How, Donald, Trump, Uses, the, Tax, Code, in, Ways, You, Ca, n’t","Real, estate, developers, like, Donald, J, Trump, combine, number, breaks, tax, code, generate, large, deductions, ,, allowed, avoid, paying, federal, income, tax, decades","can, a, of, in, the, to, which, could, have, him, to, any, for","Real, estate, developers, like, Donald, J, Trump, can, combine, a, number, of, breaks, in, the, tax, code, to, generate, large, deductions, ,, which, could, have, allowed, him, to, avoid, paying, any, federal, income, tax, for, decades","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.059, 'neu': 0.838, 'pos': 0.103, 'compound': 0.1531}]",neu,0.0,0.1531
trump,2016-10-07,The G.O.P. Ticket; Fox News in Chinatown,"A look at how the businessman at the top of the ticket is relying on the professional politician at the bottom. And in New York, a Fox News piece crudely mocks Chinese-Americans.",The G.O.P Ticket; Fox News in Chinatown,"A look at how the businessman at the top of the ticket is relying on the professional politician at the bottom And in New York, a Fox News piece crudely mocks Chinese-Americans","G.O.P, Ticket, ;, Fox, News, Chinatown","The, in","The, G.O.P, Ticket, ;, Fox, News, in, Chinatown","look, businessman, ticket, relying, professional, politician, New, York, ,, Fox, News, piece, crudely, mocks, Chinese, -, Americans","A, at, how, the, at, the, top, of, the, is, on, the, at, the, bottom, And, in, a","A, look, at, how, the, businessman, at, the, top, of, the, ticket, is, relying, on, the, professional, politician, at, the, bottom, And, in, New, York, ,, a, Fox, News, piece, crudely, mocks, Chinese, -, Americans","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.153, 'neu': 0.794, 'pos': 0.053, 'compound': -0.5267}]",neu,0.0,-0.5267
trump,2016-10-07,How Many Times Have Both Parties Nominated New Yorkers for President?,"The Trump-Clinton campaign bears some, though not too many, similarities to three other New York-centric presidential elections.",How Many Times Have Both Parties Nominated New Yorkers for President?,"The Trump-Clinton campaign bears some, though not too many, similarities to three other New York-centric presidential elections","Times, Parties, Nominated, New, Yorkers, President, ?","How, Many, Have, Both, for","How, Many, Times, Have, Both, Parties, Nominated, New, Yorkers, for, President, ?","Trump, -, Clinton, campaign, bears, ,, ,, similarities, New, York, -, centric, presidential, elections","The, some, though, not, too, many, to, three, other","The, Trump, -, Clinton, campaign, bears, some, ,, though, not, too, many, ,, similarities, to, three, other, New, York, -, centric, presidential, elections","[{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.4019,0.0
trump,2016-10-08,The Sleaziness of Donald Trump,He boasted about assaulting women. Enough.,The Sleaziness of Donald Trump,He boasted about assaulting women Enough,"Sleaziness, Donald, Trump","The, of","The, Sleaziness, of, Donald, Trump","boasted, assaulting, women","He, about, Enough","He, boasted, about, assaulting, women, Enough","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.5106}]",neu,0.0,-0.5106
trump,2016-10-08,Donald Trump’s Apology That Wasn’t,"In a video expressing regret over his lewd comments, Mr. Trump remained defiant, calling the disclosure a “distraction” and used it to renew political and personal attacks on Hillary Clinton.",Donald Trump’s Apology That Wasn’t,"In a video expressing regret over his lewd comments, Mr Trump remained defiant, calling the disclosure a “distraction” and used it to renew political and personal attacks on Hillary Clinton","Donald, Trump, Apology","’s, That, Was, n’t","Donald, Trump, ’s, Apology, That, Was, n’t","video, expressing, regret, lewd, comments, ,, Mr, Trump, remained, defiant, ,, calling, disclosure, “, distraction, ”, renew, political, personal, attacks, Hillary, Clinton","In, a, over, his, the, a, and, used, it, to, and, on","In, a, video, expressing, regret, over, his, lewd, comments, ,, Mr, Trump, remained, defiant, ,, calling, the, disclosure, a, “, distraction, ”, and, used, it, to, renew, political, and, personal, attacks, on, Hillary, Clinton","[{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.0516}]",neu,"[{'neg': 0.233, 'neu': 0.767, 'pos': 0.0, 'compound': -0.765}]",neu,0.0516,-0.765
trump,2016-10-08,"Tough Donald Trump Coverage, if a Little Late","The paper has offered readers powerful coverage of Donald Trump, but what if it had started doing so earlier in the campaign?","Tough Donald Trump Coverage, if a Little Late","The paper has offered readers powerful coverage of Donald Trump, but what if it had started doing so earlier in the campaign?","Tough, Donald, Trump, Coverage, ,, Little, Late","if, a","Tough, Donald, Trump, Coverage, ,, if, a, Little, Late","paper, offered, readers, powerful, coverage, Donald, Trump, ,, started, earlier, campaign, ?","The, has, of, but, what, if, it, had, doing, so, in, the","The, paper, has, offered, readers, powerful, coverage, of, Donald, Trump, ,, but, what, if, it, had, started, doing, so, earlier, in, the, campaign, ?","[{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.128}]",neu,"[{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}]",neu,-0.128,0.2263
trump,2016-10-08,"Donald Trump, Groper in Chief",A former business partner recounts her experience with Trump in the 1990s.,"Donald Trump, Groper in Chief",A former business partner recounts her experience with Trump in the 1990s,"Donald, Trump, ,, Groper, Chief",in,"Donald, Trump, ,, Groper, in, Chief","business, partner, recounts, experience, Trump, 1990s","A, former, her, with, in, the","A, former, business, partner, recounts, her, experience, with, Trump, in, the, 1990s","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
trump,2016-10-08,Why Republicans Are Probably Stuck With Donald Trump,"Unless he becomes incapacitated or quits, getting rid of him is, legally and logistically, “the equivalent of a triple bank shot.”",Why Republicans Are Probably Stuck With Donald Trump,"Unless he becomes incapacitated or quits, getting rid of him is, legally and logistically, “the equivalent of a triple bank shot.”","Republicans, Probably, Stuck, Donald, Trump","Why, Are, With","Why, Republicans, Are, Probably, Stuck, With, Donald, Trump","incapacitated, quits, ,, getting, rid, ,, legally, logistically, ,, “, equivalent, triple, bank, shot, ., ”","Unless, he, becomes, or, of, him, is, and, the, of, a","Unless, he, becomes, incapacitated, or, quits, ,, getting, rid, of, him, is, ,, legally, and, logistically, ,, “, the, equivalent, of, a, triple, bank, shot, ., ”","[{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.25}]",neu,"[{'neg': 0.13, 'neu': 0.807, 'pos': 0.063, 'compound': -0.3612}]",neu,-0.25,-0.3612
trump,2016-10-08,Donald Trump’s Lewd Comments About Women,"In a 2005 recording obtained by The Washington Post before the presidential election, Donald J. Trump talks about women in vulgar terms to Billy Bush, then the host of “Access Hollywood.”",Donald Trump’s Lewd Comments About Women,"In a 2005 recording obtained by The Washington Post before the presidential election, Donald J Trump talks about women in vulgar terms to Billy Bush, then the host of “Access Hollywood.”","Donald, Trump, Lewd, Comments, Women","’s, About","Donald, Trump, ’s, Lewd, Comments, About, Women","2005, recording, obtained, Washington, Post, presidential, election, ,, Donald, J, Trump, talks, women, vulgar, terms, Billy, Bush, ,, host, “, Access, Hollywood, ., ”","In, a, by, The, before, the, about, in, to, then, the, of","In, a, 2005, recording, obtained, by, The, Washington, Post, before, the, presidential, election, ,, Donald, J, Trump, talks, about, women, in, vulgar, terms, to, Billy, Bush, ,, then, the, host, of, “, Access, Hollywood, ., ”","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
trump,2016-10-08,Lewd Donald Trump Tape Is a Breaking Point for Many in the G.O.P.,Pressure built on the candidate to withdraw from the presidential campaign as party leaders urged the G.O.P. to shift its focus to down-ballot contests.,Lewd Donald Trump Tape Is a Breaking Point for Many in the G.O.P,Pressure built on the candidate to withdraw from the presidential campaign as party leaders urged the G.O.P to shift its focus to down-ballot contests,"Lewd, Donald, Trump, Tape, Breaking, Point, G.O.P","Is, a, for, Many, in, the","Lewd, Donald, Trump, Tape, Is, a, Breaking, Point, for, Many, in, the, G.O.P","Pressure, built, candidate, withdraw, presidential, campaign, party, leaders, urged, G.O.P, shift, focus, -, ballot, contests","on, the, to, from, the, as, the, to, its, to, down","Pressure, built, on, the, candidate, to, withdraw, from, the, presidential, campaign, as, party, leaders, urged, the, G.O.P, to, shift, its, focus, to, down, -, ballot, contests","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.082, 'neu': 0.818, 'pos': 0.1, 'compound': 0.128}]",neu,0.0,0.128
trump,2016-10-08,Billy Bush Says He’s Ashamed by Lewd Talk With Donald Trump,"Mr. Bush, a cousin of President George W. Bush, said he was “less mature, and acted foolishly“ in a 2005 conversation with Mr. Trump about women.",Billy Bush Says He’s Ashamed by Lewd Talk With Donald Trump,"Mr Bush, a cousin of President George W Bush, said he was “less mature, and acted foolishly“ in a 2005 conversation with Mr Trump about women","Billy, Bush, Says, Ashamed, Lewd, Talk, Donald, Trump","He, ’s, by, With","Billy, Bush, Says, He, ’s, Ashamed, by, Lewd, Talk, With, Donald, Trump","Mr, Bush, ,, cousin, President, George, W, Bush, ,, said, “, mature, ,, acted, foolishly, “, 2005, conversation, Mr, Trump, women","a, of, he, was, less, and, in, a, with, about","Mr, Bush, ,, a, cousin, of, President, George, W, Bush, ,, said, he, was, “, less, mature, ,, and, acted, foolishly, “, in, a, 2005, conversation, with, Mr, Trump, about, women","[{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4767}]",neu,"[{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4215}]",neu,-0.4767,0.4215
trump,2016-10-08,Those Who Don’t Understand Trump Are Doomed to Repeat Him,"Throughout history, countries have struggled to recover from economic crises, leaving the door open for nationalism and populist leaders.",Those Who Don’t Understand Trump Are Doomed to Repeat Him,"Throughout history, countries have struggled to recover from economic crises, leaving the door open for nationalism and populist leaders","Understand, Trump, Doomed, Repeat","Those, Who, Do, n’t, Are, to, Him","Those, Who, Do, n’t, Understand, Trump, Are, Doomed, to, Repeat, Him","history, ,, countries, struggled, recover, economic, crises, ,, leaving, door, open, nationalism, populist, leaders","Throughout, have, to, from, the, for, and","Throughout, history, ,, countries, have, struggled, to, recover, from, economic, crises, ,, leaving, the, door, open, for, nationalism, and, populist, leaders","[{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.6369}]",neu,"[{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.34}]",neu,-0.6369,-0.34
